Sample	clean_bases	clean_reads(pairs)	Step1_mapped_reads	Step1_uniq_mapped_reads	Step2_mapped_reads	Step2_uniq_mapped_reads	Total_mapped_reads(mapped/clean)	Total_uniq_mapped_reads(uniq_mapped/clean)
BM_05_1	1.97G	19.73M	17.19M	16.32M	0.16M	0.16M	17.35M(87.9%)	16.48M(83.5%)
BM_05_2	1.67G	16.75M	14.44M	13.57M	0.15M	0.14M	14.59M(87.1%)	13.72M(81.9%)
BM_05_3	1.7G	17.01M	15.02M	14.2M	0.14M	0.13M	15.16M(89.1%)	14.33M(84.2%)
BM_07_1	2.25G	22.5M	20.36M	19.44M	0.19M	0.19M	20.55M(91.3%)	19.62M(87.2%)
BM_07_2	2.04G	20.35M	18.42M	17.41M	0.17M	0.16M	18.58M(91.3%)	17.57M(86.3%)
BM_07_3	1.76G	17.56M	15.88M	15.1M	0.15M	0.14M	16.03M(91.3%)	15.25M(86.9%)
BM_09_1	1.97G	19.66M	17.84M	17.09M	0.16M	0.16M	18M(91.6%)	17.25M(87.7%)
BM_09_2	1.7G	17.02M	15.44M	14.3M	0.13M	0.13M	15.57M(91.5%)	14.43M(84.8%)
BM_09_3	2.03G	20.27M	18.34M	17.26M	0.17M	0.16M	18.5M(91.3%)	17.42M(85.9%)
BM_11_1	1.68G	16.84M	15.25M	14.49M	0.13M	0.13M	15.38M(91.3%)	14.62M(86.8%)
BM_11_2	2.26G	22.56M	20.38M	19.45M	0.2M	0.2M	20.59M(91.2%)	19.65M(87.1%)
BM_11_3	2.25G	22.46M	20.26M	19.31M	0.19M	0.18M	20.45M(91.1%)	19.5M(86.8%)
BM_13_1	2.38G	23.77M	21.46M	20.46M	0.2M	0.19M	21.65M(91.1%)	20.65M(86.9%)
BM_13_2	2.68G	26.8M	24.42M	23.44M	0.21M	0.21M	24.64M(91.9%)	23.65M(88.2%)
BM_13_3	1.58G	15.8M	14.41M	13.8M	0.13M	0.12M	14.53M(92%)	13.92M(88.1%)
BM_N9_1	1.98G	19.82M	17.95M	17.2M	0.16M	0.15M	18.1M(91.3%)	17.36M(87.6%)
end_BM_05_1	1.43G	9.53M	7.58M	7.39M	0.14M	0.14M	7.72M(81%)	7.53M(79%)
end_BM_05_2	2.2G	14.69M	11.67M	11.35M	0.21M	0.21M	11.88M(80.9%)	11.56M(78.7%)
end_BM_05_3	2.37G	15.8M	12.16M	11.85M	0.24M	0.24M	12.4M(78.5%)	12.09M(76.5%)
end_MB_05_1	1.89G	12.62M	9.47M	9.22M	0.33M	0.33M	9.8M(77.7%)	9.55M(75.7%)
end_MB_05_2	2.26G	15.09M	11.37M	11.06M	0.4M	0.4M	11.77M(78%)	11.46M(76%)
end_MB_05_3	3.03G	20.22M	15.16M	14.75M	0.51M	0.51M	15.67M(77.5%)	15.26M(75.5%)
MB_05_1	1.75G	17.55M	15.52M	14.9M	0.17M	0.17M	15.69M(89.4%)	15.07M(85.9%)
MB_05_2	1.78G	17.78M	15.38M	14.59M	0.16M	0.16M	15.55M(87.4%)	14.75M(83%)
MB_05_3	2.13G	21.33M	18.97M	17.38M	0.2M	0.19M	19.17M(89.9%)	17.57M(82.4%)
MB_07_1	1.62G	16.17M	14.7M	13.61M	0.13M	0.13M	14.83M(91.7%)	13.74M(84.9%)
MB_07_2	1.87G	18.7M	17.05M	16.14M	0.15M	0.15M	17.2M(92%)	16.29M(87.1%)
MB_07_3	2.2G	21.99M	19.86M	18.96M	0.2M	0.19M	20.06M(91.2%)	19.16M(87.1%)
MB_09_1	2.1G	21.05M	19.44M	15.28M	0.14M	0.13M	19.58M(93%)	15.41M(73.2%)
MB_09_2	1.71G	17.12M	15.59M	14.66M	0.14M	0.13M	15.73M(91.9%)	14.79M(86.4%)
MB_09_3	1.9G	18.95M	17.26M	16.43M	0.15M	0.14M	17.41M(91.8%)	16.57M(87.4%)
MB_11_1	2.01G	20.09M	17.9M	16.81M	0.19M	0.18M	18.09M(90%)	16.99M(84.6%)
MB_11_2	1.92G	19.22M	16.98M	16.2M	0.19M	0.19M	17.17M(89.4%)	16.39M(85.3%)
MB_11_3	1.76G	17.65M	15.78M	14.26M	0.16M	0.16M	15.94M(90.3%)	14.42M(81.7%)
MB_13_1	1.69G	16.91M	15.47M	14.05M	0.12M	0.12M	15.59M(92.2%)	14.17M(83.8%)
MB_13_2	1.76G	17.59M	16.01M	15.2M	0.14M	0.14M	16.15M(91.8%)	15.34M(87.2%)
MB_13_3	1.65G	16.54M	15.09M	14.2M	0.13M	0.12M	15.21M(92%)	14.33M(86.6%)
MB_N9_1	2.32G	23.22M	21.21M	20.37M	0.18M	0.18M	21.39M(92.1%)	20.54M(88.5%)
md_BM_03_1	2.25G	17.98M	13.92M	13.53M	0.45M	0.45M	14.37M(79.9%)	13.98M(77.7%)
md_BM_03_2	2.15G	17.2M	13.23M	12.88M	0.42M	0.41M	13.65M(79.4%)	13.3M(77.3%)
md_BM_03_3	2.26G	18.05M	13.67M	12.97M	0.4M	0.4M	14.07M(78%)	13.37M(74.1%)
md_BM_05_1	1.9G	15.2M	12.33M	12.06M	0.41M	0.4M	12.74M(83.8%)	12.47M(82%)
md_BM_05_2	1.87G	15M	11.92M	11.63M	0.4M	0.39M	12.32M(82.1%)	12.02M(80.2%)
md_BM_05_3	1.81G	14.46M	11.7M	11.4M	0.37M	0.36M	12.07M(83.5%)	11.76M(81.4%)
md_MB_03_1	2.24G	17.88M	13.74M	13.38M	0.5M	0.49M	14.24M(79.6%)	13.87M(77.6%)
md_MB_03_2	2.18G	17.46M	13.04M	12.69M	0.53M	0.53M	13.58M(77.8%)	13.22M(75.7%)
md_MB_03_3	2.01G	16.06M	11.22M	10.91M	0.51M	0.51M	11.73M(73%)	11.42M(71.1%)
md_MB_05_1	1.94G	15.49M	12.18M	11.72M	0.39M	0.39M	12.57M(81.1%)	12.1M(78.1%)
md_MB_05_2	1.94G	15.51M	12.46M	12.17M	0.41M	0.41M	12.87M(83%)	12.57M(81.1%)
md_MB_05_3	1.86G	14.84M	11.7M	11.43M	0.42M	0.42M	12.11M(81.6%)	11.85M(79.8%)
